timestamp_ms,rssi,csi_len,csi_bytes,label
6400171,-66,384,74;-96;4;0;0;0;0;0;0;0;7;-5;30;-20;32;-19;34;-18;36;-16;36;-15;32;-15;29;-14;32;-14;36;-13;36;-12;36;-11;38;-11;38;-11;37;-10;40;-8;43;-7;39;-8;37;-6;37;-5;38;-5;37;-5;36;-4;35;-5;36;-4;38;-5;38;-7;19;-5;37;-8;38;-7;38;-7;36;-7;36;-6;38;-5;37;-5;37;-6;36;-8;35;-9;35;-10;35;-10;35;-11;35;-10;35;-10;37;-11;36;-12;34;-12;34;-14;33;-15;33;-14;33;-12;33;-14;33;-15;33;-15;32;-14;8;-4;0;0;0;0;0;0;0;0;-1;-1;0;-5;6;-34;4;-35;3;-36;1;-35;-7;-30;-7;-30;-7;-32;-6;-32;-6;-30;-5;-29;-5;-30;-8;-30;-8;-29;-9;-28;-11;-29;-11;-30;-11;-30;-10;-27;-10;-27;-11;-28;-12;-28;-10;-26;-10;-25;-10;-26;-10;-25;-11;-23;-11;-21;-12;-23;-13;-26;-15;-27;-10;-31;-14;-27;-14;-28;-15;-29;-15;-29;-15;-29;-15;-29;-14;-29;-14;-30;-15;-30;-16;-29;-16;-28;-16;-29;-15;-30;-14;-31;-13;-31;-13;-32;-13;-32;-12;-32;-11;-31;-11;-31;-10;-31;-8;-31;-7;-30;-7;-30;-6;-31;-4;-30;-1;-8;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;8;-3;33;-11;34;-10;36;-9;36;-7;34;-4;31;-5;28;-8;32;-6;36;-2;35;-2;36;-2;38;-1;37;0;36;1;37;1;37;4;35;5;33;3;32;4;32;4;32;4;31;5;31;6;33;6;35;5;37;3;37;9;34;2;34;3;34;4;33;3;33;3;34;3;33;4;33;4;34;2;33;-1;33;-1;33;-1;35;-1;34;-1;33;0;35;-2;35;-3;34;-3;33;-4;32;-5;33;-5;32;-4;31;-4;33;-6;33;-6;33;-5;35;4;39;3;40;4;38;5;4;0,motion
6400269,-67,384,74;-96;4;0;0;0;0;0;0;0;-5;-1;-20;-3;-21;-4;-21;-4;-21;-5;-21;-5;-21;-6;-20;-6;-20;-6;-20;-7;-20;-7;-20;-7;-20;-8;-20;-8;-19;-8;-19;-9;-20;-9;-19;-9;-19;-9;-19;-9;-19;-9;-19;-9;-18;-9;-18;-9;-18;-9;-18;-9;-18;-9;-9;-5;-18;-8;-18;-8;-19;-8;-18;-8;-18;-8;-18;-8;-18;-8;-18;-7;-19;-7;-19;-5;-19;-5;-19;-6;-18;-5;-18;-5;-19;-5;-19;-5;-19;-5;-19;-5;-19;-4;-19;-4;-19;-4;-19;-4;-19;-4;-19;-4;-19;-4;-19;-3;-5;-1;0;0;0;0;0;0;0;0;-1;-1;-2;4;-9;35;-7;34;-6;35;-7;34;-4;33;-4;33;-4;33;-3;33;-3;33;-3;33;-2;32;-2;31;-2;31;-1;31;1;31;1;32;1;31;2;30;2;29;2;30;3;31;3;29;3;28;2;30;2;30;3;28;7;28;9;29;8;29;7;28;4;29;5;29;7;28;6;29;6;31;8;31;8;29;8;29;10;32;10;31;8;29;12;29;15;29;12;30;9;33;9;33;9;31;8;31;7;35;3;35;0;31;1;27;3;27;4;27;4;28;2;30;-1;31;-1;7;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-10;-2;-38;-7;-38;-8;-38;-9;-38;-11;-38;-12;-38;-13;-37;-14;-37;-14;-36;-15;-37;-15;-38;-15;-37;-16;-37;-16;-36;-16;-36;-17;-36;-18;-36;-19;-34;-19;-33;-19;-33;-20;-33;-19;-33;-19;-33;-19;-33;-18;-33;-18;-34;-17;-34;-16;-33;-16;-33;-17;-33;-16;-33;-16;-32;-17;-33;-17;-33;-16;-33;-16;-33;-15;-34;-12;-34;-11;-34;-12;-34;-11;-35;-11;-35;-12;-35;-11;-35;-10;-35;-10;-35;-10;-35;-10;-36;-9;-36;-9;-36;-9;-36;-8;-36;-8;-36;-8;-36;-9;-37;-8;-39;-9;-39;-10;-6;-2,motion
6400372,-66,384,74;-96;4;0;0;0;0;0;0;0;-5;-2;-18;-8;-18;-8;-18;-9;-18;-10;-17;-11;-17;-11;-17;-11;-17;-11;-17;-12;-17;-12;-17;-12;-17;-13;-16;-13;-16;-13;-16;-13;-16;-14;-15;-13;-15;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-14;-15;-13;-15;-13;-8;-7;-14;-13;-14;-13;-14;-12;-14;-12;-14;-12;-13;-13;-14;-12;-14;-12;-14;-12;-15;-12;-16;-12;-16;-11;-16;-11;-15;-11;-15;-11;-16;-11;-16;-11;-16;-10;-16;-10;-16;-10;-16;-10;-16;-10;-16;-10;-16;-9;-16;-9;-16;-9;-4;-3;0;0;0;0;0;0;0;0;-1;-1;-4;2;-25;23;-23;26;-23;28;-23;28;-18;27;-17;28;-17;27;-16;27;-15;28;-15;28;-15;27;-15;28;-15;27;-14;26;-13;27;-14;28;-14;29;-14;29;-12;28;-11;29;-11;29;-10;28;-10;26;-12;25;-12;26;-10;26;-9;29;-9;32;-9;30;-8;29;-10;28;-8;29;-9;28;-9;26;-9;26;-9;28;-9;31;-7;33;-6;32;-6;29;-5;30;-6;30;-9;30;-11;32;-11;33;-10;32;-9;31;-9;31;-12;31;-15;30;-17;28;-16;26;-14;26;-14;24;-14;25;-15;25;-13;24;-3;5;-1;-1;-1;-1;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-8;-6;-30;-20;-29;-21;-29;-22;-29;-23;-28;-24;-27;-24;-27;-25;-26;-26;-26;-27;-26;-27;-27;-28;-27;-28;-27;-29;-26;-29;-25;-30;-24;-30;-23;-30;-22;-29;-22;-29;-22;-29;-21;-29;-21;-29;-22;-28;-22;-28;-22;-28;-23;-28;-21;-31;-22;-27;-22;-28;-22;-27;-21;-25;-22;-26;-22;-27;-22;-27;-22;-27;-23;-27;-25;-26;-25;-25;-25;-25;-26;-24;-25;-23;-25;-24;-26;-24;-26;-23;-27;-23;-26;-23;-26;-23;-27;-23;-28;-23;-27;-22;-27;-21;-27;-21;-27;-22;-24;-25;-26;-26;-27;-26;-26;-25;-4;-3,motion
6400470,-68,384,74;-96;4;0;0;0;0;0;0;0;2;-4;10;-13;10;-13;10;-12;11;-13;12;-13;11;-12;12;-12;12;-12;12;-12;12;-11;13;-11;14;-11;13;-11;13;-11;13;-10;14;-10;13;-10;13;-10;13;-10;13;-9;13;-9;13;-9;13;-9;13;-9;13;-9;13;-10;6;-5;13;-10;13;-10;13;-10;12;-10;12;-9;13;-9;12;-10;12;-9;11;-9;11;-10;11;-10;11;-10;11;-11;11;-11;11;-11;12;-11;11;-11;11;-12;11;-12;11;-12;11;-12;10;-12;10;-12;10;-12;10;-12;9;-12;2;-3;0;0;0;0;0;0;0;0;-1;-1;-6;-6;-42;-43;-43;-43;-43;-42;-43;-41;-48;-36;-48;-35;-47;-35;-46;-35;-46;-33;-48;-32;-48;-32;-49;-31;-48;-31;-48;-30;-49;-29;-50;-28;-51;-26;-50;-27;-49;-29;-53;-28;-52;-28;-49;-28;-48;-26;-49;-24;-51;-23;-49;-24;-48;-23;-56;-17;-60;-14;-60;-13;-63;-6;-50;-6;-50;-15;-55;-20;-57;-18;-53;-16;-49;-18;-50;-20;-54;-19;-61;-16;-66;-14;-60;-13;-54;-16;-55;-22;-49;-25;-43;-24;-47;-22;-54;-22;-56;-26;-57;-23;-61;-20;-60;-24;-54;-24;-51;-21;-49;-29;-50;-38;-53;-39;-14;-10;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;-12;42;-45;42;-43;42;-41;45;-40;48;-40;48;-39;50;-37;52;-36;53;-36;52;-37;53;-38;54;-37;53;-36;54;-35;55;-34;57;-31;56;-28;54;-28;53;-30;52;-31;53;-28;54;-28;53;-29;52;-30;52;-30;54;-30;56;-29;51;-31;51;-30;51;-32;50;-31;50;-30;50;-32;49;-33;49;-33;48;-31;45;-32;45;-34;46;-35;47;-36;46;-38;46;-37;46;-36;46;-38;44;-40;45;-40;45;-40;43;-41;42;-40;41;-40;41;-43;41;-44;41;-44;46;-41;48;-44;46;-44;43;-40;5;-5,motion
6400569,-70,384,74;-96;4;0;0;0;0;0;0;0;-3;1;-12;5;-12;5;-12;4;-12;4;-13;4;-13;3;-13;3;-13;2;-13;2;-13;2;-13;2;-13;2;-14;2;-14;2;-14;1;-14;1;-14;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-7;0;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;1;-13;2;-13;3;-12;3;-12;3;-12;3;-12;3;-12;3;-12;3;-12;4;-12;4;-12;4;-12;4;-12;4;-12;5;-13;5;-12;5;-12;5;-3;1;0;0;0;0;0;0;0;0;-1;-1;0;5;6;45;8;44;10;45;10;45;16;41;16;40;16;40;17;40;17;40;17;40;16;39;17;39;19;38;21;36;22;36;23;36;24;36;25;35;24;35;23;35;23;34;24;32;24;31;23;32;22;33;22;32;25;31;28;30;30;30;32;30;31;34;31;31;30;32;30;31;30;30;29;30;28;31;28;31;30;32;31;33;32;32;32;31;32;31;33;32;33;33;31;35;30;35;29;35;29;37;29;37;28;36;27;38;25;37;25;36;26;36;26;38;24;39;5;9;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-12;3;-46;13;-47;13;-46;12;-46;11;-47;8;-48;6;-49;5;-50;3;-50;3;-49;5;-50;6;-51;6;-50;5;-51;3;-50;2;-50;0;-51;-1;-50;-1;-49;-2;-49;-3;-48;-2;-48;-1;-47;-1;-47;0;-48;0;-49;1;-50;-1;-48;0;-48;0;-48;1;-48;1;-46;0;-46;-1;-47;1;-48;1;-47;1;-47;2;-47;6;-47;7;-47;7;-47;7;-48;7;-48;7;-47;7;-47;7;-47;7;-47;8;-48;8;-48;8;-47;10;-47;12;-48;13;-49;13;-48;8;-48;9;-50;9;-48;6;-6;0,motion
6400675,-70,384,74;-96;4;0;0;0;0;0;0;0;-3;-4;-9;-13;-9;-13;-9;-13;-8;-13;-7;-14;-7;-14;-7;-15;-7;-15;-6;-15;-6;-15;-6;-16;-6;-17;-6;-17;-5;-16;-4;-16;-4;-17;-4;-16;-4;-16;-3;-17;-4;-17;-4;-17;-3;-16;-4;-15;-3;-16;-3;-16;-4;-16;-2;-8;-3;-16;-3;-16;-3;-16;-4;-15;-4;-16;-4;-16;-4;-15;-4;-15;-4;-15;-5;-15;-6;-15;-6;-15;-5;-15;-5;-16;-6;-16;-6;-16;-6;-17;-6;-16;-7;-16;-7;-15;-7;-15;-7;-15;-7;-15;-7;-15;-7;-15;-7;-15;-2;-4;0;0;0;0;0;0;0;0;-1;-1;-5;0;-31;4;-31;4;-32;5;-32;6;-29;11;-29;10;-29;11;-29;12;-29;12;-28;12;-27;12;-27;13;-27;13;-26;14;-26;15;-27;16;-27;17;-26;17;-25;17;-26;15;-27;15;-23;17;-21;20;-24;21;-24;19;-22;18;-23;19;-23;20;-21;22;-23;23;-26;20;-23;19;-22;18;-22;22;-21;24;-22;24;-24;25;-25;22;-25;20;-27;22;-28;23;-28;25;-28;25;-24;26;-23;27;-26;25;-27;25;-29;25;-31;22;-30;21;-30;22;-35;23;-37;23;-35;23;-34;20;-36;16;-36;17;-9;4;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-3;-7;-11;-27;-10;-26;-9;-27;-8;-28;-7;-28;-7;-29;-6;-29;-6;-30;-5;-30;-4;-29;-5;-30;-5;-32;-6;-32;-5;-31;-3;-30;-2;-31;-2;-31;-2;-30;-2;-30;-2;-30;-1;-30;0;-30;-1;-29;-2;-29;-1;-29;-2;-29;2;-29;-1;-29;0;-29;-1;-29;-2;-28;-2;-28;-2;-29;-3;-29;-3;-29;-4;-29;-5;-29;-7;-29;-7;-29;-6;-29;-6;-30;-6;-29;-7;-29;-7;-30;-7;-30;-7;-30;-8;-29;-8;-30;-8;-31;-8;-29;-9;-29;-8;-30;-8;-30;-5;-30;-4;-31;-5;-33;-9;-32;-2;-4,motion
6400770,-71,384,74;-96;4;0;0;0;0;0;0;0;0;3;2;13;2;13;1;13;1;14;0;14;0;14;-1;14;-1;14;-1;14;-1;14;-2;15;-2;15;-2;15;-2;14;-3;14;-3;14;-3;14;-3;14;-3;14;-4;14;-4;14;-4;13;-4;13;-4;14;-4;14;-3;14;-2;6;-4;13;-4;13;-4;13;-4;13;-3;13;-3;14;-3;13;-3;13;-3;14;-3;15;-3;15;-3;14;-2;14;-2;14;-3;14;-3;14;-2;15;-2;14;-2;14;-2;14;-2;15;-3;15;-2;15;-1;15;-1;15;-1;15;-1;3;0;0;0;0;0;0;0;0;-1;-1;3;0;26;8;28;8;29;8;29;5;29;-2;31;0;32;1;32;1;30;2;30;1;30;0;31;0;31;0;31;-2;31;-4;31;-4;31;-3;30;-3;31;-2;33;-2;33;-3;32;-6;33;-7;31;-7;30;-7;32;-6;33;-9;34;-12;36;-12;39;-13;36;-8;35;-12;36;-12;38;-11;43;-11;43;-11;42;-12;41;-12;38;-11;41;-11;45;-13;46;-13;42;-11;42;-9;44;-11;41;-13;38;-11;40;-7;44;-6;47;-6;48;-7;48;-5;50;-4;50;-8;49;-8;47;0;49;1;12;-1;0;0;0;0;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;0;6;0;26;0;26;-1;27;-2;27;-2;26;-3;26;-4;26;-5;26;-6;27;-7;27;-6;27;-6;27;-7;27;-8;27;-9;26;-9;26;-9;26;-9;26;-9;26;-9;25;-10;24;-10;25;-10;25;-10;25;-10;25;-9;25;-12;24;-10;23;-11;24;-11;25;-10;24;-9;24;-10;24;-10;23;-10;23;-10;25;-8;26;-8;26;-8;26;-8;27;-8;26;-8;26;-9;26;-8;26;-7;27;-8;26;-8;26;-8;27;-8;28;-7;27;-7;28;-6;29;-6;28;-10;26;-11;28;-10;29;-10;28;-2;3,motion
6400870,-71,384,74;-96;4;0;0;0;0;0;0;0;-3;-2;-11;-7;-12;-7;-12;-9;-12;-10;-12;-9;-11;-10;-11;-11;-11;-12;-10;-11;-9;-10;-10;-10;-11;-12;-11;-12;-10;-10;-10;-9;-11;-10;-10;-11;-9;-10;-9;-9;-9;-9;-10;-9;-10;-9;-9;-9;-9;-10;-8;-11;-8;-11;-4;-5;-8;-9;-10;-10;-11;-9;-11;-9;-11;-9;-11;-9;-11;-8;-11;-8;-11;-8;-11;-8;-10;-7;-10;-7;-10;-7;-9;-7;-10;-8;-11;-8;-11;-9;-12;-9;-13;-7;-13;-7;-12;-8;-13;-6;-13;-5;-13;-5;-13;-6;-12;-6;-3;-2;0;0;0;0;0;0;0;0;-1;-1;-2;2;-16;23;-16;24;-15;25;-14;24;-11;25;-11;24;-11;25;-11;25;-9;25;-7;25;-7;26;-7;26;-6;26;-5;26;-4;28;-3;30;-3;30;-1;29;-1;29;-3;29;-2;27;1;28;3;31;3;31;3;29;2;26;5;27;7;31;8;31;8;30;1;31;7;31;7;32;9;34;10;33;10;32;12;36;14;39;11;40;8;41;10;42;14;41;16;38;16;36;17;39;17;43;15;45;14;45;13;46;14;46;15;44;12;44;10;46;11;47;10;45;9;44;8;43;1;10;0;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-6;-4;-20;-15;-20;-17;-19;-18;-18;-18;-19;-18;-18;-19;-17;-19;-16;-19;-15;-19;-13;-18;-14;-19;-16;-21;-18;-23;-18;-23;-16;-22;-16;-23;-17;-23;-16;-21;-15;-20;-15;-20;-16;-21;-17;-20;-16;-19;-13;-19;-12;-20;-15;-20;-18;-18;-15;-18;-13;-20;-14;-19;-16;-17;-16;-17;-18;-17;-19;-17;-18;-17;-18;-16;-17;-15;-16;-17;-17;-17;-19;-16;-18;-17;-17;-16;-18;-15;-19;-19;-20;-19;-21;-16;-19;-17;-20;-17;-23;-14;-24;-12;-23;-11;-22;-11;-22;-13;-22;-15;-24;-16;-25;-16;-23;-17;-3;-3,motion
6400970,-69,384,74;-96;4;0;0;0;0;0;0;0;0;3;0;14;0;13;-1;13;-1;13;-1;13;-1;14;-1;14;-3;14;-3;13;-3;13;-2;14;-2;14;-3;13;-3;13;-3;12;-4;13;-4;13;-4;13;-4;13;-4;12;-4;12;-4;12;-4;12;-4;12;-4;12;-4;12;-2;6;-3;12;-4;12;-3;12;-3;12;-4;12;-4;12;-3;12;-3;12;-3;12;-3;12;-3;13;-2;12;-2;13;-2;13;-3;13;-2;13;-2;13;-2;13;-2;13;-2;13;-2;13;-1;13;-1;13;-1;13;-1;13;-1;13;-1;3;0;0;0;0;0;0;0;0;-1;-1;3;0;25;2;26;0;26;-1;23;-3;24;-4;26;-2;27;-2;27;-2;26;-2;26;-2;26;-2;26;-2;25;-3;25;-4;25;-4;26;-5;27;-5;27;-5;28;-4;27;-6;26;-8;25;-7;25;-7;25;-8;25;-8;26;-8;27;-9;28;-12;28;-11;28;-11;29;-13;29;-14;30;-14;29;-13;27;-11;27;-12;29;-15;31;-15;33;-14;31;-12;31;-9;33;-12;34;-16;35;-16;37;-14;37;-12;37;-10;37;-9;37;-10;37;-9;38;-8;40;-8;40;-8;37;-7;36;-6;39;-7;41;-6;10;-2;-1;-1;-1;-1;0;0;0;0;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;6;0;25;-1;25;-2;26;-3;25;-3;25;-2;25;0;26;-2;26;-6;25;-6;25;-6;24;-6;25;-6;26;-6;26;-7;25;-8;25;-8;25;-8;24;-8;24;-8;23;-8;23;-9;23;-8;22;-8;22;-8;22;-7;23;-6;24;-7;23;-8;23;-8;23;-7;22;-8;23;-8;23;-7;23;-7;23;-7;23;-6;24;-5;24;-3;24;-3;24;-4;25;-5;25;-5;25;-4;24;-4;24;-4;25;-4;25;-4;25;-4;25;-3;25;-2;25;-3;26;-3;26;-3;24;-3;26;-3;27;-3;26;-1;3,motion
6401069,-67,384,74;-96;4;0;0;0;0;0;0;0;2;-3;10;-10;11;-10;11;-10;12;-9;12;-9;12;-9;12;-8;12;-8;12;-8;12;-8;13;-8;13;-7;13;-7;13;-7;13;-7;13;-7;13;-7;13;-6;12;-6;12;-6;12;-6;12;-6;12;-6;12;-6;12;-6;13;-7;6;-4;12;-7;12;-6;12;-6;12;-6;12;-6;12;-6;12;-7;11;-7;11;-7;11;-8;11;-8;11;-8;11;-8;11;-8;11;-8;11;-8;11;-9;11;-9;11;-9;11;-9;11;-9;11;-9;11;-9;11;-9;11;-10;11;-10;2;-3;0;0;0;0;0;0;0;0;-1;-1;-5;-6;-31;-43;-34;-44;-37;-45;-38;-46;-39;-43;-37;-43;-35;-42;-35;-41;-36;-40;-35;-39;-36;-40;-37;-39;-38;-39;-38;-39;-39;-39;-41;-38;-41;-37;-40;-37;-39;-36;-40;-36;-42;-36;-42;-35;-42;-37;-41;-37;-40;-36;-43;-37;-45;-36;-46;-32;-47;-32;-47;-34;-48;-39;-50;-35;-49;-37;-48;-40;-47;-40;-48;-39;-50;-38;-48;-39;-45;-39;-47;-38;-51;-38;-51;-39;-49;-42;-51;-45;-50;-47;-47;-49;-47;-50;-47;-49;-48;-50;-48;-54;-46;-57;-42;-58;-38;-56;-36;-56;-37;-57;-37;-56;-34;-56;-9;-15;-1;-1;-1;-1;-1;-1;0;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;10;-9;41;-34;42;-35;44;-34;46;-31;46;-30;47;-31;48;-29;49;-29;49;-28;49;-27;49;-27;49;-27;49;-26;50;-26;50;-24;50;-23;50;-22;50;-22;50;-22;49;-21;48;-20;48;-20;49;-20;49;-20;49;-21;49;-23;48;-25;47;-22;47;-21;47;-21;46;-22;46;-22;46;-22;46;-22;46;-22;44;-24;42;-26;42;-26;43;-26;44;-27;46;-27;45;-28;44;-29;43;-30;45;-31;44;-30;43;-30;43;-32;43;-32;43;-32;43;-33;43;-34;43;-34;46;-31;48;-32;50;-33;48;-32;5;-5,motion
