timestamp_ms,rssi,csi_len,csi_bytes,label
7577182,-67,384,74;-96;4;0;0;0;0;0;0;0;4;-2;17;-5;17;-4;17;-4;18;-3;18;-2;18;-3;18;-3;18;-2;18;-2;19;-2;20;-2;20;-1;20;0;20;0;21;-1;21;-1;20;-1;20;-1;21;0;21;0;21;0;20;0;20;0;20;0;21;0;21;0;10;0;20;1;21;0;21;0;20;-1;21;0;21;0;21;0;21;-2;21;-1;21;-1;22;-1;22;-2;22;-1;22;-2;22;-1;23;-1;23;-2;22;-2;22;-2;21;-2;22;-3;23;-2;23;-2;22;-2;22;-2;22;-2;5;-1;0;0;0;0;0;0;0;0;0;0;1;-11;4;-42;3;-43;1;-44;1;-43;1;-41;0;-39;1;-38;1;-38;0;-38;-1;-37;-1;-38;-2;-37;-3;-36;-3;-34;-4;-34;-5;-34;-4;-36;-4;-35;-5;-33;-4;-34;-3;-34;-2;-32;-3;-31;-5;-31;-6;-32;-6;-32;-5;-34;-6;-35;-9;-33;-10;-32;-9;-33;-8;-33;-8;-32;-10;-31;-11;-32;-9;-32;-7;-34;-7;-35;-7;-35;-7;-33;-8;-33;-8;-34;-8;-34;-7;-33;-5;-32;-3;-33;-2;-33;-3;-33;-3;-32;-2;-33;-1;-33;0;-32;1;-31;3;-31;5;-30;6;-30;5;-32;1;-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;-2;34;-3;35;-2;35;-2;34;-1;35;0;37;-1;38;-2;38;0;39;2;39;2;39;2;40;4;40;5;38;5;38;5;40;7;40;7;38;5;38;5;39;6;39;8;37;10;39;9;41;7;42;6;41;5;41;6;41;7;41;6;40;5;39;5;40;4;41;4;41;4;41;6;43;6;43;5;42;4;42;3;42;2;42;3;43;3;44;2;44;1;44;0;43;0;42;1;42;0;44;1;45;1;44;1;44;1;43;2;44;2;45;2;44;2;44;2;11;0,occupied
7577283,-68,384,74;-96;4;0;0;0;0;0;0;0;-1;4;-2;17;-3;16;-3;17;-4;17;-4;17;-4;17;-3;17;-4;17;-4;17;-4;17;-5;17;-5;17;-5;17;-6;17;-6;17;-6;17;-6;17;-5;17;-5;17;-6;17;-6;17;-6;17;-6;17;-6;17;-6;17;-6;18;-3;9;-6;19;-5;18;-5;18;-5;18;-5;18;-5;19;-5;19;-4;19;-5;19;-5;19;-4;19;-3;20;-3;20;-3;20;-3;20;-3;20;-3;20;-3;20;-3;20;-2;20;-3;20;-3;20;-2;20;-2;19;-2;20;-2;20;-1;5;0;0;0;0;0;0;0;0;0;0;7;5;30;21;30;19;31;19;30;19;31;18;30;19;28;19;29;18;29;16;28;15;28;16;29;16;28;15;26;12;27;10;29;10;29;11;29;12;29;12;27;11;27;12;27;11;26;10;25;9;26;9;27;9;27;7;29;5;29;5;29;5;29;6;29;7;29;7;29;8;28;8;28;9;28;11;29;11;30;11;30;11;28;10;28;8;30;7;30;8;28;11;26;13;26;13;26;11;25;12;24;15;24;16;24;18;22;18;20;17;20;16;20;18;19;19;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;6;-14;27;-14;28;-16;29;-18;28;-18;27;-20;27;-19;26;-18;27;-18;28;-19;29;-18;30;-18;30;-19;31;-21;31;-22;29;-22;28;-23;28;-23;28;-23;28;-24;27;-23;26;-23;26;-21;27;-20;27;-21;28;-20;29;-21;29;-22;28;-23;28;-23;30;-23;29;-23;29;-23;29;-22;29;-24;30;-25;32;-23;33;-20;33;-20;34;-21;34;-21;34;-22;32;-23;32;-22;33;-22;33;-22;32;-23;32;-24;33;-23;32;-21;32;-20;33;-20;35;-21;34;-20;32;-21;32;-22;33;-21;32;-5;8,occupied
7577382,-67,384,74;-96;4;0;0;0;0;0;0;0;0;-5;2;-17;2;-18;3;-18;3;-18;3;-17;4;-17;4;-17;3;-17;4;-18;4;-18;4;-18;5;-18;5;-18;6;-18;6;-18;6;-18;6;-18;6;-18;7;-17;7;-17;7;-18;7;-18;7;-18;7;-18;7;-19;7;-19;3;-10;7;-19;7;-19;7;-18;7;-19;7;-19;8;-19;8;-19;7;-19;7;-19;6;-19;6;-19;7;-19;7;-19;7;-19;7;-20;7;-20;6;-20;7;-20;7;-20;6;-20;7;-20;7;-20;7;-20;7;-20;7;-19;7;-20;1;-5;0;0;0;0;0;0;0;0;0;0;-9;-4;-34;-14;-35;-12;-36;-12;-35;-13;-36;-12;-35;-12;-35;-12;-35;-11;-33;-11;-32;-11;-33;-11;-33;-11;-33;-10;-32;-9;-32;-9;-33;-7;-33;-5;-32;-5;-32;-6;-31;-7;-31;-6;-31;-7;-30;-8;-29;-6;-29;-5;-29;-2;-29;0;-30;-1;-30;-3;-31;-5;-32;-6;-31;-5;-31;-4;-29;-3;-27;-3;-28;-4;-30;-5;-32;-5;-34;-4;-33;-5;-32;-5;-30;-6;-28;-7;-29;-7;-30;-8;-28;-9;-27;-7;-27;-10;-27;-13;-26;-12;-27;-11;-26;-13;-26;-15;-27;-16;-27;-17;-25;-17;-23;-18;-6;-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-9;2;-33;3;-32;5;-33;6;-33;5;-31;5;-32;7;-33;8;-33;8;-32;8;-32;7;-32;7;-33;9;-35;10;-35;11;-34;12;-33;11;-34;10;-34;10;-33;12;-33;13;-32;12;-32;10;-33;10;-35;10;-35;10;-35;11;-35;12;-35;12;-34;12;-34;11;-34;12;-35;13;-35;13;-35;15;-35;14;-35;11;-35;9;-36;9;-37;10;-38;11;-38;10;-38;10;-37;11;-37;11;-38;11;-39;11;-39;12;-39;12;-40;12;-39;11;-39;11;-39;11;-38;11;-37;11;-38;11;-37;11;-36;2;-9,occupied
7577482,-67,384,74;-96;4;0;0;0;0;0;0;0;-4;-1;-17;-3;-17;-4;-18;-4;-18;-4;-18;-4;-18;-5;-18;-5;-18;-6;-17;-6;-18;-6;-18;-6;-18;-7;-18;-7;-18;-7;-18;-7;-18;-7;-18;-7;-18;-7;-18;-8;-18;-8;-18;-8;-18;-8;-18;-8;-18;-8;-19;-8;-19;-8;-10;-4;-19;-8;-19;-8;-19;-8;-19;-8;-19;-8;-19;-8;-19;-8;-19;-8;-20;-8;-20;-8;-20;-7;-20;-7;-20;-7;-21;-7;-21;-7;-21;-7;-21;-7;-21;-7;-20;-7;-20;-7;-21;-7;-21;-7;-20;-7;-20;-7;-20;-7;-20;-7;-5;-2;0;0;0;0;0;0;0;0;0;0;-6;8;-20;32;-19;32;-20;33;-19;32;-17;32;-17;31;-18;31;-17;30;-16;29;-16;30;-16;29;-15;27;-15;27;-14;27;-12;29;-12;31;-12;32;-11;32;-10;30;-11;28;-11;29;-10;30;-11;30;-12;29;-13;28;-12;27;-9;26;-7;28;-7;29;-6;30;-6;31;-8;30;-9;29;-10;30;-10;30;-10;30;-11;30;-12;29;-13;29;-13;29;-11;27;-11;28;-12;31;-12;30;-13;29;-15;28;-15;27;-15;27;-16;27;-19;27;-20;25;-20;24;-20;23;-20;22;-19;22;-20;21;-22;21;-6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;-2;-30;-7;-31;-8;-31;-11;-30;-13;-30;-12;-32;-14;-33;-16;-32;-15;-31;-15;-31;-15;-32;-15;-33;-14;-33;-15;-34;-15;-33;-17;-33;-18;-33;-19;-33;-18;-32;-17;-31;-17;-31;-19;-31;-21;-31;-20;-31;-18;-33;-17;-35;-17;-35;-18;-33;-19;-33;-20;-34;-20;-33;-19;-32;-19;-33;-19;-33;-19;-33;-20;-35;-19;-38;-17;-39;-15;-38;-16;-38;-17;-37;-19;-36;-20;-37;-20;-37;-19;-37;-17;-37;-17;-37;-18;-36;-18;-36;-19;-37;-18;-38;-16;-39;-17;-39;-19;-37;-19;-37;-20;-37;-21;-35;-21;-9;-6,occupied
7577582,-67,384,74;-96;4;0;0;0;0;0;0;0;3;1;14;4;14;4;14;4;14;5;14;5;14;5;14;6;14;6;14;6;14;6;14;6;15;6;15;6;15;6;14;7;14;7;14;7;14;7;14;7;14;7;14;7;14;7;15;7;15;8;15;7;15;7;7;3;15;7;15;7;16;7;16;7;16;7;16;7;16;7;16;7;16;7;17;7;17;7;17;7;17;7;17;7;17;7;17;6;18;6;18;6;18;6;17;6;18;6;18;7;18;7;17;7;17;7;17;7;4;1;0;0;0;0;0;0;0;0;0;0;4;-9;16;-33;16;-33;15;-34;14;-33;12;-32;12;-32;13;-32;12;-31;11;-31;11;-32;11;-31;10;-29;9;-28;8;-28;7;-29;7;-30;7;-30;7;-30;8;-29;8;-28;7;-27;5;-27;6;-28;7;-28;7;-27;6;-27;4;-27;3;-28;2;-29;2;-28;2;-29;3;-29;4;-28;4;-29;4;-28;5;-28;5;-29;5;-29;5;-28;4;-27;4;-28;4;-29;4;-30;4;-30;6;-30;8;-30;8;-29;8;-27;8;-26;9;-27;9;-26;10;-25;12;-24;13;-23;13;-24;13;-24;14;-24;3;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2;27;8;26;9;26;10;26;10;27;11;27;12;28;13;27;13;25;13;25;13;26;13;26;12;27;12;29;14;28;15;27;15;27;15;26;15;26;16;26;17;25;17;26;16;27;14;28;14;29;14;30;13;30;13;28;14;28;15;29;15;28;15;29;16;29;17;29;16;30;16;32;16;32;15;32;14;32;13;34;13;33;14;32;14;32;14;33;14;34;14;34;15;33;15;34;15;34;16;33;16;33;14;35;14;35;14;33;13;33;13;34;15;33;15;8;3,occupied
7577685,-67,384,74;-96;4;0;0;0;0;0;0;0;-4;1;-14;3;-15;3;-16;3;-16;3;-16;3;-16;2;-16;2;-16;2;-16;2;-16;2;-17;2;-17;1;-17;1;-18;1;-18;1;-18;1;-18;1;-17;0;-17;0;-17;0;-17;0;-17;0;-18;0;-18;0;-18;0;-19;1;-10;0;-19;1;-19;1;-19;1;-19;1;-19;1;-19;1;-19;1;-19;1;-19;2;-20;2;-19;2;-19;2;-19;2;-20;2;-20;2;-20;2;-20;2;-20;2;-20;2;-20;2;-20;2;-21;2;-21;2;-20;2;-20;1;-20;1;-5;0;0;0;0;0;0;0;0;0;0;0;0;8;1;33;2;34;2;35;2;35;3;35;3;34;2;33;2;33;3;32;3;32;4;32;4;32;4;31;3;30;3;30;4;30;4;30;5;28;7;26;8;26;3;26;0;25;3;25;5;26;4;25;4;25;6;25;7;26;8;26;9;27;9;26;8;26;8;27;9;26;8;26;8;26;7;26;6;25;6;26;7;28;7;27;8;26;7;26;7;26;6;28;5;29;4;28;3;28;2;29;1;28;0;28;-1;28;-2;27;-3;26;-4;26;-5;27;-6;28;-2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;0;-30;3;-30;5;-29;5;-29;4;-31;4;-32;2;-32;1;-32;1;-32;1;-32;1;-32;1;-32;1;-33;2;-33;2;-32;1;-32;0;-33;0;-32;0;-32;0;-33;0;-33;0;-34;1;-34;0;-33;0;-34;-1;-34;-1;-34;-1;-34;1;-34;1;-34;1;-34;0;-35;-1;-36;-1;-35;0;-35;1;-36;3;-37;4;-36;4;-36;3;-37;2;-37;2;-37;2;-38;3;-37;4;-37;4;-37;3;-38;3;-38;4;-38;3;-37;2;-37;3;-38;3;-38;2;-37;2;-38;3;-38;3;-37;2;-9;0,occupied
7577783,-67,384,74;-96;4;0;0;0;0;0;0;0;2;-4;11;-13;11;-13;11;-13;12;-12;13;-11;13;-11;13;-12;14;-12;14;-11;14;-11;15;-12;15;-12;15;-12;15;-11;16;-11;15;-11;15;-10;15;-10;15;-10;16;-10;16;-10;16;-10;16;-10;16;-11;16;-12;16;-12;8;-6;15;-11;16;-12;16;-12;16;-12;16;-12;16;-12;16;-12;16;-12;16;-13;15;-14;15;-14;15;-14;15;-14;16;-14;16;-14;16;-14;16;-14;16;-14;16;-15;16;-14;17;-14;17;-14;16;-14;15;-15;16;-15;15;-15;3;-4;0;0;0;0;0;0;0;0;0;0;-5;-8;-21;-32;-24;-30;-25;-30;-25;-29;-26;-28;-25;-28;-23;-29;-23;-30;-23;-28;-25;-26;-25;-24;-25;-23;-24;-25;-23;-25;-24;-23;-25;-21;-25;-21;-25;-20;-26;-21;-25;-21;-25;-21;-26;-19;-26;-19;-24;-19;-23;-19;-24;-18;-26;-16;-27;-16;-28;-18;-30;-19;-29;-19;-28;-21;-28;-22;-29;-20;-28;-17;-28;-19;-27;-20;-26;-21;-25;-21;-25;-19;-26;-18;-27;-18;-26;-18;-26;-18;-25;-20;-25;-22;-25;-24;-24;-26;-23;-26;-22;-26;-21;-26;-19;-25;-17;-25;-17;-25;-17;-27;-16;-27;-14;-26;-4;-7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;-6;25;-23;26;-22;24;-22;24;-22;25;-22;28;-22;28;-21;27;-21;27;-21;26;-22;24;-22;25;-24;26;-24;27;-23;27;-22;30;-21;32;-20;32;-21;32;-21;31;-20;30;-19;30;-19;29;-20;29;-21;31;-22;31;-24;30;-24;30;-23;30;-22;29;-22;29;-21;30;-21;29;-23;29;-24;30;-24;30;-25;29;-28;28;-29;28;-27;29;-27;29;-27;30;-26;29;-27;30;-28;30;-28;30;-27;30;-27;30;-27;30;-26;30;-26;30;-27;31;-27;32;-27;31;-28;32;-28;33;-28;30;-26;7;-6,occupied
7577883,-67,384,74;-96;4;0;0;0;0;0;0;0;2;3;9;14;10;13;10;13;9;14;9;14;9;14;8;14;8;15;8;15;8;15;7;16;8;17;8;17;7;16;7;16;7;17;7;17;7;17;6;16;6;17;6;17;6;18;6;17;6;17;6;18;6;18;3;8;7;17;6;18;5;18;6;17;6;17;6;18;6;18;6;18;7;18;8;18;8;17;7;18;7;18;7;18;8;18;8;18;8;18;8;18;8;19;8;19;8;18;8;18;8;19;8;20;8;20;9;20;2;5;0;0;0;0;0;0;0;0;0;0;9;-2;37;-6;37;-8;36;-8;36;-6;35;-4;35;-5;35;-6;35;-6;35;-8;35;-7;33;-5;31;-7;31;-7;31;-8;30;-8;29;-9;30;-11;30;-11;29;-9;30;-9;30;-8;29;-7;29;-7;28;-9;28;-10;28;-11;28;-11;27;-13;26;-13;26;-13;26;-12;26;-11;27;-10;27;-10;27;-11;27;-12;28;-12;28;-13;28;-12;27;-11;28;-11;29;-12;29;-11;29;-11;29;-9;29;-7;31;-6;31;-6;31;-6;31;-3;30;0;29;-1;28;-1;27;-1;26;0;28;0;29;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;10;30;12;26;11;23;11;25;13;29;12;30;9;31;9;32;9;32;11;33;11;34;11;35;12;34;11;33;9;32;8;34;7;35;6;34;7;34;7;35;6;35;6;37;6;37;6;36;6;35;7;35;7;36;6;35;6;34;5;35;6;36;7;37;6;37;5;36;6;35;8;37;10;37;10;37;9;37;9;38;9;38;7;37;7;37;8;39;9;39;8;39;7;38;7;38;8;39;10;38;10;39;10;40;8;39;7;38;8;39;8;41;7;41;1;10,occupied
7577982,-67,384,74;-96;4;0;0;0;0;0;0;0;-1;3;-2;15;-2;15;-2;16;-2;16;-2;17;-3;17;-3;17;-3;17;-4;16;-4;16;-4;17;-4;17;-4;17;-4;17;-4;17;-4;17;-4;18;-4;17;-5;18;-5;18;-5;18;-5;17;-5;17;-6;18;-6;18;-6;18;-3;9;-4;18;-4;19;-4;19;-4;19;-4;19;-4;19;-4;19;-4;19;-3;19;-3;20;-3;20;-3;20;-3;19;-2;19;-2;20;-2;20;-2;20;-1;20;-1;20;-1;20;-1;20;-2;20;-2;20;-2;20;-2;20;-1;20;-1;5;0;0;0;0;0;0;0;0;0;0;9;0;37;2;37;1;38;1;37;1;37;0;37;0;36;1;35;1;33;0;33;0;34;-1;34;-2;34;-1;33;-1;32;-4;32;-5;32;-5;32;-5;30;-5;29;-4;29;-4;29;-5;28;-7;28;-6;28;-5;29;-6;29;-7;28;-7;28;-8;27;-9;27;-9;28;-8;28;-9;28;-9;28;-9;29;-11;30;-11;30;-10;29;-9;29;-9;28;-9;28;-8;29;-7;29;-7;28;-7;28;-6;29;-5;29;-4;28;-3;28;-2;29;0;28;1;27;1;25;-1;24;-1;24;1;25;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;6;-2;28;-3;29;-3;30;-2;31;-3;31;-4;32;-5;32;-6;32;-7;32;-7;33;-7;35;-6;36;-6;36;-7;35;-8;33;-8;33;-7;34;-7;34;-7;33;-9;34;-10;35;-9;35;-8;34;-8;34;-9;36;-9;36;-8;35;-8;34;-7;35;-7;36;-7;36;-8;36;-8;36;-8;36;-8;37;-7;39;-4;38;-4;37;-4;38;-5;39;-4;40;-4;39;-4;38;-3;38;-3;40;-4;40;-5;39;-5;39;-3;40;-2;39;-2;39;-2;40;-3;40;-3;39;-3;39;-2;40;-3;40;-1;9,occupied
7578082,-67,384,74;-96;4;0;0;0;0;0;0;0;-3;-4;-11;-13;-11;-13;-11;-14;-10;-14;-10;-15;-9;-15;-9;-15;-9;-16;-9;-16;-9;-16;-10;-16;-10;-17;-10;-17;-10;-17;-9;-17;-9;-17;-9;-17;-8;-17;-8;-17;-8;-17;-8;-18;-8;-18;-8;-18;-8;-18;-9;-19;-8;-18;-4;-10;-9;-19;-9;-19;-9;-18;-9;-18;-9;-18;-9;-18;-9;-18;-9;-18;-10;-18;-11;-17;-11;-17;-10;-18;-10;-18;-10;-19;-10;-19;-10;-19;-11;-19;-11;-19;-11;-19;-11;-19;-10;-19;-10;-19;-11;-19;-11;-19;-10;-20;-11;-19;-3;-5;0;0;0;0;0;0;0;0;0;0;-10;0;-37;1;-39;2;-39;2;-37;1;-36;2;-37;3;-37;3;-36;3;-34;4;-33;4;-33;3;-33;3;-34;4;-32;5;-30;6;-31;7;-32;7;-33;8;-32;7;-32;6;-31;7;-29;8;-29;8;-29;6;-29;7;-28;8;-28;8;-28;10;-28;11;-27;11;-27;10;-27;10;-28;10;-29;10;-28;10;-29;9;-31;8;-30;8;-29;8;-28;9;-28;10;-28;11;-30;11;-32;9;-32;7;-31;5;-31;4;-30;4;-29;5;-29;4;-29;2;-30;1;-29;0;-28;0;-27;-2;-26;-3;-26;-4;-7;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;-8;-5;-33;-4;-33;-2;-32;-2;-32;-3;-33;-2;-34;0;-33;1;-33;1;-34;0;-34;-2;-34;-3;-35;-1;-37;-1;-37;1;-37;2;-37;2;-37;2;-36;3;-35;3;-36;3;-36;3;-37;2;-37;0;-37;-1;-37;-1;-37;0;-37;1;-38;1;-38;1;-38;2;-38;2;-38;2;-38;2;-39;2;-39;1;-38;-3;-36;-6;-37;-5;-39;-4;-41;-3;-41;-2;-40;-1;-40;-2;-41;-2;-41;-2;-40;-1;-40;-2;-41;-2;-41;-2;-39;-4;-38;-3;-40;-1;-40;-2;-40;-3;-41;-3;-41;-3;-41;-1;-10,occupied
